中文,英文
古代的,ancient
假期,vacation
极好的,fantastic
风景,landscape
奇怪的,strange
呼吸,breath
尤其,especially
任何地方,anywhere
没有任何东西,nothing
景色,scenery
丝绸,silk
旅馆,hotel
舒适的,comfortable
准备好的,ready
某处,somewhere
天空,sky
厌倦的,bored
向,towards
彩虹,rainbow
广场,square
在...期间,during
胜利,victory
俄罗斯的,Russian
战斗,fight
反对,against
导游,guide
提醒,remind
和平,peace
忘记,forget
正午,noon
生病的,sick
车站,station
宫殿,palace
阳台,balcony
邀请,invite
饼干,biscuit
宝物,treasure
旅行,journey
分享,share
熟悉的,familiar
笑话,joke
作者,writer
描述,describe
也许,perhaps
公寓,apartment
装饰,decorate
比较,compare
害羞的,shy
外向的,outgoing
勤奋的,hard-working
