中文,英文
你自己,yourself
工程师,engineer
时尚,fashion
设计师,designer
音乐家,musician
消防员,fireman
人工智能,AI
经典,classic
文学,literature
运动员,athlete
摄影师,photographer
画家,painter
商人,businessman
女演员,actress
律师,lawyer
能够的,able
达到,achieve
身体的,physical
健康,health
自信的,confident
有条理的,organized
介绍,introduce
意义,meaning
失败,fail
设计,design
最后的,final
信心,confidence
关系,relationship
精力充沛的,energetic
预测,prediction
外围的,outer
更差的,worse
积极的,positive
科技,technology
高效的,efficient
教育,education
搭档,partner
优胜者,winner
治愈,cure
作者,author
灾难,disaster
飞行员,pilot
专家,expert
取代,replace
创造力,creativity
智力,intelligence
挑战,challenge
交流,communication
当地的,local
教授,professor
